player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Terry Rozier,roziete01,2020,3848,1905,-0.147380582,-0.451229487,-0.59861007,-5.593032468,-3.546977739,-9.140010207,-1.2009625,-1.087210018,-2.288172518,0.44560547,0.44560547,0,-1.209704073,-1.513169997,-2.722874071,-0.740984307
Thabo Sefolosha,sefolth01,2020,951,428,-2.45057503,1.691471016,-0.759104014,0.396670702,-0.339330074,0.057340629,-2.088589793,1.354215877,-0.734373916,0.440524558,0.440524558,0,-1.919714949,0.929860009,-0.989854941,0.08838004
Kadeem Allen,allenka01,2020,252,117,0.730005401,5.440733555,6.170738956,2.662186636,-6.31124984,-3.649063203,1.281375991,3.388233957,4.669609948,0.437642903,0.437642903,0,1.765831304,1.820332101,3.586163404,-1.211785192
Torrey Craig,craigto01,2020,1606,785,-0.658486106,-0.054427468,-0.712913575,-2.052039946,-2.822636871,-4.874676817,-0.992520412,-0.664563589,-1.657084002,0.434824015,0.434824015,0,-1.366887655,-0.480798305,-1.84768596,-0.675333821
Jared Dudley,dudleja01,2020,617,300,-0.801272852,1.507580353,0.706307501,-6.01875177,4.101228307,-1.917523463,-1.960687281,2.052477221,0.091789941,0.431411948,0.431411948,0,-2.273010983,1.767704206,-0.505306777,-0.8335155
Ryan Broekhoff,broekry01,2020,388,180,1.580832528,1.212532071,2.793364599,2.114933258,-4.018182243,-1.903248985,1.712341597,0.176704273,1.889045869,0.428099691,0.428099691,0,2.063675325,-1.40213759,0.661537735,0.495461129
Marvin Williams,willima02,2020,1875,894,-0.840396631,-1.164330938,-2.00472757,0.250201806,-0.802602611,-0.552400804,-0.643306381,-1.124548919,-1.7678553,0.427464207,0.427464207,0,-1.209636621,-1.666761935,-2.876398556,-0.080660173
Daniel Gafford,gaffoda01,2020,1066,498,-2.335640522,1.053215299,-1.282425224,-3.385577787,3.021706429,-0.363871357,-2.645829797,1.492497067,-1.15333273,0.406183571,0.406183571,0,-3.526659818,1.270540018,-2.256119799,0.126536991
Wes Iwundu,iwundwe01,2020,1568,749,-2.126368955,-0.04160158,-2.167970534,-2.175233437,3.034567731,0.859334294,-2.244583335,0.565886438,-1.678696897,0.405703579,0.405703579,0,-2.801412233,0.57652044,-2.224891793,-0.918385292
Cody Zeller,zelleco01,2020,2495,1224,-0.475947113,-1.152480852,-1.628427965,-0.739000095,-3.416989731,-4.155989826,-0.487892048,-1.617326458,-2.105218506,0.40219302,0.40219302,0,-0.491664997,-1.600781767,-2.092446764,-0.117408111
Robert Williams III,williro04,2020,571,269,-2.442973537,3.241738894,0.798765357,1.318176624,-3.398052742,-2.079876118,-1.862667595,1.970612404,0.107944809,0.393525593,0.393525593,0,-1.570125669,1.925175257,0.355049588,0.335750394
Isaiah Hartenstein,harteis01,2020,584,266,-0.370289134,-0.001050503,-0.371339637,1.860617337,0.396229089,2.256846426,-0.002738405,0.051587625,0.04884922,0.382506649,0.382506649,0,-0.080936011,0.880262978,0.799326968,0.716274527
Khem Birch,birchkh01,2020,1590,773,-2.586658571,1.226276187,-1.360382385,-3.941488764,1.097627637,-2.843861128,-3.020555927,1.249950957,-1.77060497,0.382274823,0.382274823,0,-3.779037238,1.295709352,-2.483327886,-1.05251733
DeAndre' Bembry,bembrde01,2020,2015,915,-3.217301258,2.155445952,-1.061855306,-6.421563142,1.055885895,-5.365677247,-4.080653156,2.124436753,-1.956216402,0.372286671,0.372286671,0,-3.252631872,1.914508565,-1.338123307,0.474336121
Trey Lyles,lylestr01,2020,2188,1040,-1.453102081,-1.406985194,-2.860087274,2.490403703,-0.822678588,1.667725115,-0.715900162,-1.340817906,-2.056718068,0.367803427,0.367803427,0,-0.568824059,-1.511902744,-2.080726803,-0.015955873
Cheick Diallo,diallch01,2020,901,423,-0.714604418,0.676021258,-0.03858316,-3.769707216,-1.241452913,-5.011160129,-1.395293067,0.336623889,-1.058669178,0.365104174,0.365104174,0,-1.295208841,-0.036059381,-1.331268222,0.025244682
Josh Jackson,jacksjo02,2020,419,190,-2.027733707,2.044924657,0.01719095,2.311145251,1.887031169,4.19817642,-1.211387546,2.170433815,0.959046268,0.364547028,0.364547028,0,-1.12352927,0.955878623,-0.167650647,1.419100974
Dante Exum,exumda01,2020,1022,485,-0.953975596,0.137000668,-0.816974928,-6.10423333,2.721443629,-3.382789701,-2.041105165,0.759263872,-1.281841293,0.363425318,0.363425318,0,-2.49389693,-0.784760777,-3.278657707,0.083825793
Zach Collins,colliza01,2020,186,86,-2.113189685,5.958484409,3.845294724,2.603421621,6.216638017,8.820059638,-1.268350401,6.456757099,5.188406698,0.352660819,0.352660819,0,-1.886756643,3.796297944,1.909541301,1.273316802
Juancho Hernangomez,hernaju01,2020,1275,591,-1.016653649,-0.656510621,-1.67316427,0.63259221,-1.230958469,-0.598366258,-0.738605032,-0.847034059,-1.585639091,0.352328935,0.352328935,0,-0.713092159,-0.654269048,-1.367361207,0.053232109
Mike Conley,conlemi01,2020,2002,950,0.21675289,-1.490947685,-1.274194795,-3.702067911,-0.515812826,-4.217880737,-0.63746614,-1.397328862,-2.034795002,0.346473416,0.346473416,0,-0.075967335,-0.841884366,-0.917851701,-0.052785689
CJ Miles,milescj01,2020,367,161,-0.244633174,2.271731434,2.02709826,1.209950896,-3.396493418,-2.186542521,0.030152801,1.310210991,1.340363793,0.339893204,0.339893204,0,-0.354121124,0.206361808,-0.147759316,1.185144217
Avery Bradley,bradlav01,2020,2124,990,-2.104111129,-0.21349809,-2.31760922,-2.014259819,1.69084947,-0.323410349,-2.249160077,0.116681204,-2.132478872,0.312797612,0.312797612,0,-2.185886298,1.023109521,-1.162776778,0.29085778
Tony Snell,snellto01,2020,2989,1452,0.478363801,-2.076099501,-1.5977357,-3.014903213,-1.948289534,-4.963192747,-0.193708275,-2.148107861,-2.341816136,0.299328448,0.299328448,0,-0.845257968,-2.367875352,-3.21313332,-1.032226008
Lonnie Walker IV,walkelo01,2020,1433,670,-1.81543735,-0.684391195,-2.499828545,-0.192711605,1.37790705,1.185195444,-1.60312379,-0.27016902,-1.873292811,0.299051253,0.299051253,0,-1.304123383,-1.080755514,-2.384878897,-0.216951076
Jordan Bell,belljo01,2020,546,250,-1.054977964,-0.016413196,-1.07139116,-0.832233035,2.427414216,1.595181182,-1.036928281,0.526895195,-0.510033087,0.290584171,0.290584171,0,-0.956425683,-1.005987721,-1.962413404,0.416930058
Tyler Herro,herroty01,2020,2658,1273,-0.27760659,-1.198892296,-1.476498886,-4.357845125,-0.450133157,-4.807978282,-1.18770921,-1.117541943,-2.305251153,0.288393104,0.288393104,0,-0.576206718,-1.675725264,-2.251931981,-0.164086585
Victor Oladipo,oladivi01,2020,414,200,-2.571017502,3.07260255,0.501585048,-4.875459857,2.927200558,-1.948259299,-3.241341729,3.215550714,-0.025791015,0.27944036,0.27944036,0,-1.01734646,1.698263518,0.680917058,0.536786801
Tim Frazier,fraziti01,2020,740,355,-3.111117097,2.074892737,-1.036224359,-3.126322537,1.19831536,-1.928007176,-3.290763943,2.053423515,-1.237340428,0.272916445,0.272916445,0,-3.037968009,0.485209071,-2.552758937,-0.394099679
Mfiondu Kabengele,kabenmf01,2020,135,64,3.715135824,2.234450291,5.949586115,2.736666646,-0.04571655,2.690950096,3.674153256,1.769046431,5.443199687,0.266724956,0.266724956,0,3.356745159,2.101045184,5.457790343,-0.307453525
Quinn Cook,cookqu01,2020,827,387,-0.572160608,-1.608777085,-2.180937692,-0.134120967,2.783757534,2.649636567,-0.58214642,-0.861950276,-1.444096696,0.256832641,0.256832641,0,-1.227776054,-2.122380939,-3.350156994,-0.401571614
Rodions Kurucs,kurucro01,2020,947,427,-2.612667153,0.150966047,-2.461701105,-2.863008815,5.26989563,2.406886815,-2.8137394,1.212636534,-1.601102866,0.253835717,0.253835717,0,-2.30459208,-0.114016976,-2.418609056,1.444359897
Courtney Lee,leeco01,2020,387,182,-0.817498736,0.39217073,-0.425328006,6.625807438,-4.563011361,2.062796078,0.627323942,-0.652622441,-0.025298499,0.251681841,0.251681841,0,-0.575547931,-0.670739036,-1.246286968,-0.534125584
Malcolm Miller,millema01,2020,265,124,-0.9966074,0.108219271,-0.888388129,5.510902207,4.432335241,9.943237449,0.259776438,0.9312688,1.191045238,0.248409783,0.248409783,0,-1.013725606,-0.100251847,-1.113977453,-0.376438896
Robin Lopez,lopezro01,2020,1686,764,-2.654018823,0.939468801,-1.714550022,-1.263956484,-0.756278216,-2.020234701,-2.577840486,0.466333683,-2.111506803,0.247441767,0.247441767,0,-3.412289177,-0.098073396,-3.510362573,-0.589790145
Otto Porter Jr.,porteot01,2020,479,226,0.180650584,-0.667375322,-0.486724738,-0.164349526,-1.508234987,-1.672584513,0.174973375,-0.885451554,-0.710478179,0.236315023,0.236315023,0,-1.265103607,-0.521537403,-1.78664101,0.498009892
Romeo Langford,langfro01,2020,490,232,-2.806552165,1.126528734,-1.680023431,-0.926561563,4.485665303,3.55910374,-2.653588353,1.860843012,-0.79274534,0.231402299,0.231402299,0,-3.759930478,0.299518716,-3.460411762,-0.119332378
Solomon Hill,hillso01,2020,2012,923,-0.945752039,-1.443414114,-2.389166153,2.066287101,-3.422890048,-1.356602948,-0.347157037,-1.934992571,-2.282149608,0.226191973,0.226191973,0,-0.692599942,-2.040085876,-2.732685819,0.225200355
Ante Zizic,zizican01,2020,360,168,-2.686787204,1.255315461,-1.431471743,3.646117059,0.39096132,4.037078379,-1.440139937,1.329602336,-0.110537601,0.225140469,0.225140469,0,-2.054523854,-0.231604714,-2.286128568,-0.495022426
Nicolo Melli,mellini01,2020,1623,750,-0.928024828,-0.923032177,-1.851057005,-1.696283645,-1.121386458,-2.817670103,-1.174795957,-0.995130528,-2.169926485,0.222513914,0.222513914,0,-0.090298501,-0.594396037,-0.684694538,0.252324406
Juwan Morgan,morgaju01,2020,160,74,-1.960216986,3.19529802,1.235081034,1.195618869,7.833099539,9.028718408,-1.403154857,4.315586584,2.912431727,0.212814453,0.212814453,0,-2.950679495,1.147847099,-1.802832396,-0.462835571
Adam Mokoka,mokokad01,2020,162,76,-0.826009598,0.154157366,-0.671852233,8.320282789,7.339273512,15.6595563,1.085529654,1.663912998,2.749442652,0.212691344,0.212691344,0,-1.532544245,0.439036965,-1.093507281,-0.263537202
Bruno Caboclo,cabocbr01,2020,449,200,-4.669272854,4.330876501,-0.338396352,-6.355899974,4.188115898,-2.167784076,-5.278211243,4.590335837,-0.687875406,0.211521328,0.211521328,0,-3.462283196,3.882825254,0.420542058,0.66263141
Charles Brown Jr.,brownch02,2020,87,40,-0.352600412,2.90723348,2.554633068,3.303279255,19.8272271,23.13050636,0.546400967,6.744768339,7.291169306,0.208768579,0.208768579,0,1.019016452,2.141500668,3.160517119,1.916628451
Naz Mitrou-Long,mitrona01,2020,92,43,0.322143038,4.372610255,4.694753293,-0.768911468,14.40217212,13.63326065,0.095561176,6.709659578,6.805220754,0.207199995,0.207199995,0,3.755839454,3.187743274,6.943582728,-1.182150226
Noah Vonleh,vonleno01,2020,806,363,-2.671630315,1.773146771,-0.898483544,-6.508685674,1.828672253,-4.680013422,-3.630505535,1.90772907,-1.722776465,0.190077218,0.190077218,0,-4.027362742,0.942342656,-3.085020085,-0.112783821
Justin James,jamesju01,2020,468,216,-2.01374874,0.612439468,-1.401309273,-6.500651091,6.753669463,0.253018373,-3.036540524,1.963991721,-1.072548804,0.185058977,0.185058977,0,-2.100411773,-0.002765487,-2.10317726,0.109580247
Chimezie Metu,metuch01,2020,155,73,1.083705426,1.152526195,2.236231622,-3.563552561,2.113589173,-1.449963389,0.165686681,1.498440628,1.664127308,0.162347443,0.162347443,0,0.871550167,-1.333387991,-0.461837824,-1.275671185
Glenn Robinson III,robingl02,2020,3368,1588,-1.103189282,-1.568494304,-2.671683586,1.24014457,-2.957193543,-1.717048972,-0.62486888,-1.927900727,-2.552769607,0.158453178,0.158453178,0,-1.416991074,-1.213598557,-2.63058963,-0.490540461
John Konchar,konchjo01,2020,113,52,2.249897137,1.928274701,4.178171838,0.440618097,-2.95922786,-2.518609763,2.101669471,1.086571104,3.188240575,0.155462533,0.155462533,0,0.130592539,-1.755808533,-1.625215994,-1.348309108
Brandon Goodwin,goodwbr01,2020,804,367,-1.445336968,0.434558216,-1.010778752,-7.478016789,1.671728791,-5.806287998,-2.712284487,0.788567796,-1.923716691,0.154081921,0.154081921,0,-1.676765927,-0.564037766,-2.240803693,-0.41832782
James Johnson,johnsja01,2020,939,433,-1.787214089,-0.341791017,-2.129005106,1.254550014,-2.276956669,-1.022406655,-1.277067594,-0.787480375,-2.064547968,0.151495555,0.151495555,0,-1.389560736,-0.963082078,-2.352642814,0.223322426
Thon Maker,makerth01,2020,1454,702,-1.866501909,0.076888283,-1.789613626,-2.971616404,-1.709497874,-4.681114278,-2.186887309,-0.208805972,-2.39569328,0.127054256,0.127054256,0,-2.360550827,-0.362851525,-2.723402352,0.125155587
Grayson Allen,allengr01,2020,1100,498,-0.194363437,-1.560522134,-1.754885571,-0.929193815,-2.908235881,-3.837429696,-0.337322576,-1.923657763,-2.260980339,0.124814598,0.124814598,0,-0.688271237,-2.567711269,-3.255982506,0.463817895
Johnathan Motley,motlejo01,2020,91,41,3.537168421,-0.293943187,3.243225234,4.87316764,-2.756562492,2.116605149,3.982235912,-0.928014648,3.054221265,0.122664203,0.122664203,0,2.256676494,1.197823942,3.454500436,1.051001357
Terance Mann,mannte01,2020,604,271,-2.955125745,0.908818504,-2.046307241,-2.965062096,2.930570957,-0.034491138,-3.181684413,1.323266927,-1.858417485,0.12265991,0.12265991,0,-4.233694992,0.768451577,-3.465243416,-0.508350931
Yuta Watanabe,watanyu01,2020,110,49,-2.481675137,2.802218846,0.320543709,4.810380343,3.672639882,8.483020224,-1.054442276,3.197885274,2.143442998,0.122315501,0.122315501,0,-2.27619983,0.831313658,-1.444886173,-0.016346955
TJ Leaf,leaftj01,2020,417,190,-1.03342642,0.159124433,-0.874301987,-8.000897642,4.534301848,-3.466595794,-2.5569462,1.046803241,-1.510142959,0.12032384,0.12032384,0,-2.432546527,-0.091762933,-2.52430946,0.114275042
Josh Magette,magetjo01,2020,79,38,-7.346810518,10.50556676,3.158756244,-7.427471414,10.28030706,2.852835646,-7.756656146,11.05883628,3.302180132,0.120118857,0.120118857,0,-5.618914006,8.595789082,2.976875077,2.419375346
